UTILITY,465,137,1,-1,-1
TANK1(7041-1),317,168,1,-1,-1
TANK2(7041-3),206,64,1,-1,-1
TANK3(7041-4),140,100,1,-1,-1
TANK4(7041-5),123,112,1,-1,-1
TANK5(7041-6),210,152,1,-1,-1
TANK6(7041-7),115,84,1,-1,-1
TANK7(7041-8),120,84,1,-1,-1
TANK8(7041-9),221,107,1,-1,-1
TANK9(7041-10),221,205,1,-1,-1
TANK10(7041-11),93,80,1,-1,-1
TANK11(7041-12),93,62,1,-1,-1
TANK12(7041-13),93,73,1,-1,-1
TANK13(7041-14),129,113,1,-1,-1
TANK14(7041-15),100,113,1,-1,-1
SUBSTATION1(305),117,27,1,-1,-1
SUBSTATION2(306),117,27,1,-1,-1
SUBSTATION3(307),240,40,1,-1,-1
SUBSTATION4(308),106,33,1,-1,-1
SUBSTATION5(309),135,28,1,-1,-1
SUBSTATION6(302),124,27,1,-1,-1
SUBSTATION7(303),102,27,1,-1,-1
SUBSTATION8(304),115,27,1,-1,-1
SUBSTATION9(301),64,34,1,-1,-1
EFFLUENT TREATMENT PLANT,237,100,1,-1,-1
OCTANIZER CCR UNIT(7300),242,106,1,-1,-1
AROMIZER CCR UNIT(7500),242,106,1,-1,-1
ISOMERIZATION UNIT(7200),265,83,1,-1,-1
LNH UNIT TRAIN1(7100),220,93,1,-1,-1
HNH UNIT TRAIN2(7400/7700/7800),192,82,1,-1,-1
AROMATICS 1(7600/7610/7620/7630),320,205,1,-1,-1
AROMATICS 2(7640/7650/7660),167,119,1,-1,-1
EVAPORATION POND,237,107,1,-1,-1
